run_at_pacific,post_id,account,series,ref,media_id,status,detail
2026-09-21T12:18:01.024707-07:00,rq-05-es,threads,RE Quote ES,Card 05,18124150177903644,ok,
2026-09-21T16:11:50.975884-07:00,r2b-day-022,ig:growthwealth,Round 2b,Day 022,18113992027816683,ok,
2026-09-21T16:11:50.975884-07:00,r2b-day-022,fb:543998318793132,Round 2b,Day 022,543998318793132_122180616380716289,ok,
2026-09-22T02:51:12.603046-07:00,r2-day-023,ig:growthwealth,Round 2,Day 023,17985467484120166,ok,
2026-09-22T02:51:12.603046-07:00,r2-day-023,fb:543998318793132,Round 2,Day 023,543998318793132_122180665910716289,ok,
2026-09-22T11:45:45.432664-07:00,bs-01-p1-es,ig:ramonhouses,Blog Series ES,Blog 01 Part 1,18419883142146186,ok,
2026-09-22T11:45:45.432664-07:00,bs-01-p1-es,fb:414239392030697,Blog Series ES,Blog 01 Part 1,414239392030697_122228465900048227,ok,
2026-09-22T11:45:45.432664-07:00,bs-01-p1-es,li:person,Blog Series ES,Blog 01 Part 1,urn:li:share:7508235185449197568,ok,
2026-09-22T11:45:45.432664-07:00,bs-01-p1-es,threads,Blog Series ES,Blog 01 Part 1,17973509655141369,ok,
2026-09-22T11:45:45.432664-07:00,car-en-w04a,ig:ramonhouses,Carousel EN,w04a,,error,"HTTP 400: {""error"":{""message"":""Media ID is not available"",""type"":""OAuthException"",""code"":9007,""error_subcode"":2207027,""is_transient"":false,""error_user_title"":""Cannot Publish"",""error_user_msg"":""The media is not ready for publishing, please wait for a moment"",""fbtrace_id"":""ANzwzQ8llzlN1z49L9uS1JL""}}"
2026-09-22T11:45:45.432664-07:00,car-en-w04a,fb:414239392030697,Carousel EN,w04a,414239392030697_122228466734048227,ok,
2026-09-22T11:45:45.432664-07:00,car-en-w04a,li:person,Carousel EN,w04a,urn:li:ugcPost:7508235543496024064,ok,
2026-09-22T11:45:45.432664-07:00,car-en-w04a,threads,Carousel EN,w04a,,error,"HTTP 400: {""error"":{""message"":""The requested resource does not exist"",""type"":""OAuthException"",""code"":24,""error_subcode"":4279009,""is_transient"":false,""error_user_title"":""Media Not Found"",""error_user_msg"":""The media with id 17923612353424903 cannot be found."",""fbtrace_id"":""AGuNfTFzr8dB_UQvMS-ef35""}}"
2026-09-22T14:59:38.906139-07:00,car-en-w04a,ig:ramonhouses,Carousel EN,w04a,18028784366889422,ok,
2026-09-22T14:59:38.906139-07:00,car-en-w04a,threads,Carousel EN,w04a,18373530625240205,ok,
2026-09-22T14:59:38.906139-07:00,bs-01-p1-en,ig:ramonhouses,Blog Series EN,Blog 01 Part 1,18126571825891690,ok,
2026-09-22T14:59:38.906139-07:00,bs-01-p1-en,fb:414239392030697,Blog Series EN,Blog 01 Part 1,414239392030697_122228481482048227,ok,
2026-09-22T14:59:38.906139-07:00,bs-01-p1-en,li:person,Blog Series EN,Blog 01 Part 1,urn:li:share:7508284365676662784,ok,
2026-09-22T14:59:38.906139-07:00,bs-01-p1-en,threads,Blog Series EN,Blog 01 Part 1,18117354178947953,ok,
2026-09-22T14:59:38.906139-07:00,r2b-day-023,ig:growthwealth,Round 2b,Day 023,18262048066307649,ok,
2026-09-22T14:59:38.906139-07:00,r2b-day-023,fb:543998318793132,Round 2b,Day 023,543998318793132_122180739080716289,ok,
2026-09-23T04:23:56.073392-07:00,r2-day-024,ig:growthwealth,Round 2,Day 024,17984322860889119,ok,
2026-09-23T04:23:56.073392-07:00,r2-day-024,fb:543998318793132,Round 2,Day 024,543998318793132_122180805968716289,ok,
2026-09-23T13:11:58.617583-07:00,car-es-w04a,ig:ramonhouses,Carousel ES,w04a,18114541817004731,ok,
2026-09-23T13:11:58.617583-07:00,car-es-w04a,fb:414239392030697,Carousel ES,w04a,414239392030697_122228573504048227,ok,
2026-09-23T13:11:58.617583-07:00,car-es-w04a,threads,Carousel ES,w04a,18163020367490163,ok,
2026-09-23T13:11:58.617583-07:00,rq-06-en,ig:ramonhouses,RE Quote EN,Card 06,17990952267105731,ok,
2026-09-23T13:11:58.617583-07:00,rq-06-en,fb:414239392030697,RE Quote EN,Card 06,414239392030697_122228573972048227,ok,
2026-09-23T13:11:58.617583-07:00,rq-06-en,li:person,RE Quote EN,Card 06,urn:li:share:7508619747924799488,ok,
2026-09-23T13:11:58.617583-07:00,rq-06-en,threads,RE Quote EN,Card 06,18141693268586296,ok,
2026-09-23T16:36:14.169911-07:00,r2b-day-024,ig:growthwealth,Round 2b,Day 024,18339672721265514,ok,
2026-09-23T16:36:14.169911-07:00,r2b-day-024,fb:543998318793132,Round 2b,Day 024,543998318793132_122180859878716289,ok,
